Variable 1,Label 1,Variable 2,Label 2,Correlation
INDWT,Weight for individual-level questions,HHM9MAR,9th HH member: marital status,-1.0
INDWT,Weight for individual-level questions,HHM11MAR,11th HH member: marital status,-1.0
INDWT,Weight for individual-level questions,HHM12SEX,12th HH member: gender,0.8969777957333342
INDWT,Weight for individual-level questions,HHM12DOB,12th HH member: year of birth,-0.8896010930527184
INDWT,Weight for individual-level questions,HHM12EDU,12th HH member: Level of education achieved to date,0.8313375957500825
INDWT,Weight for individual-level questions,HHM13RELR,13th HH member: relationship to the respondent,-0.9076651677685288
INDWT,Weight for individual-level questions,HHM13DOB,13th HH member: year of birth,-0.9139908426179991
INDWT,Weight for individual-level questions,HHM13EDU,13th HH member: Level of education achieved to date,0.8313375957500825
RESPSEX,Respondent's sex,PARTYSUSO,Towards which political party do you have the most sympathy for? Other specified,-1.0
RESPSEX,Respondent's sex,HHM12RELR,12th HH member: relationship to the respondent,-0.8660254037844387
RESPAGE,Respondent's age,AGEGROUP,Age groups,0.9170397019018658
RESPAGE,Respondent's age,PARTYSUSO,Towards which political party do you have the most sympathy for? Other specified,-1.0
RESPAGE,Respondent's age,RESPDOB,Respondent's year of birth,-0.9992626003597744
RESPAGE,Respondent's age,HHM9TRW,Has 9th HH member traveled for work outside settlement?,-0.8383667342679632
RESPAGE,Respondent's age,HHM9MAR,9th HH member: marital status,-1.0
RESPAGE,Respondent's age,HHM12RELR,12th HH member: relationship to the respondent,-0.8170571691028833
AGEGROUP,Age groups,RESPAGE,Respondent's age,0.9170397019018658
AGEGROUP,Age groups,RESPDOB,Respondent's year of birth,-0.9158677557049214
AGEGROUP,Age groups,HHM9TRW,Has 9th HH member traveled for work outside settlement?,-0.8017837257372731
AGEGROUP,Age groups,HHM12RELR,12th HH member: relationship to the respondent,-0.8660254037844385
ACTCHORE,Helped a neighbor or a friend with some household chores or childcare?,HHM11MAR,11th HH member: marital status,-1.0
ACTRESDT,Helped someone to resolve a dispute?,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,-0.7745966692414834
ACTRESDT,Helped someone to resolve a dispute?,FLMANDSO,Which foreign language should be mandatory in secondary schools? Other specified,-0.7489684438839196
ACTRESDT,Helped someone to resolve a dispute?,HHM9MAR,9th HH member: marital status,-1.0
ACTRESDT,Helped someone to resolve a dispute?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
ACTRESDT,Helped someone to resolve a dispute?,HHM12DOB,12th HH member: year of birth,-0.9933992677987827
ACTRESDT,Helped someone to resolve a dispute?,HHM12EDU,12th HH member: Level of education achieved to date,0.9999999999999999
ACTRESDT,Helped someone to resolve a dispute?,HHM13RELR,13th HH member: relationship to the respondent,-0.9878291611472619
ACTRESDT,Helped someone to resolve a dispute?,HHM13DOB,13th HH member: year of birth,-0.9853292781642911
ACTRESDT,Helped someone to resolve a dispute?,HHM13EDU,13th HH member: Level of education achieved to date,0.9999999999999999
ACTCLEAN,Helped cleaning public space?,PARTYSUSO,Towards which political party do you have the most sympathy for? Other specified,-1.0
ACTCLEAN,Helped cleaning public space?,HHM7TRP,7th HH member's travel place for work (inside country),-1.0
ACTCLEAN,Helped cleaning public space?,HHM12SEX,12th HH member: gender,-1.0
ACTREST,Went to a restaurant?,PARTYSUSO,Towards which political party do you have the most sympathy for? Other specified,-1.0
ACTVLNT,Did volunteer work without expecting compensation?,HHM6TRP,6th HH member's travel place for work (inside country),-0.8017837257372731
ACTVLNT,Did volunteer work without expecting compensation?,HHM9MAR,9th HH member: marital status,-1.0
ACTVLNT,Did volunteer work without expecting compensation?,HHM11MAR,11th HH member: marital status,-1.0
ACTVLNT,Did volunteer work without expecting compensation?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
ACTCOMM,Made a comment online?,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,-0.9449111825230679
ACTDNCH,Donated money to a church or mosque?,PARTYSUSO,Towards which political party do you have the most sympathy for? Other specified,-1.0
ACTDNCH,Donated money to a church or mosque?,HHM6TRP,6th HH member's travel place for work (inside country),-0.8017837257372731
ACTDNCH,Donated money to a church or mosque?,HHM9MAR,9th HH member: marital status,-1.0
ACTNRCHN,Donated money to a nonreligious charity?,PARTYSUSO,Towards which political party do you have the most sympathy for? Other specified,-1.0
ACTNRCHN,Donated money to a nonreligious charity?,HHM7TRP,7th HH member's travel place for work (inside country),-1.0
ACTNRCHN,Donated money to a nonreligious charity?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
ACTPBLM,Attended a public meeting?,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,-0.8944271909999159
ACTPBLM,Attended a public meeting?,HHM6TRP,6th HH member's travel place for work (inside country),-0.8017837257372731
ACTSPET,"Signed a petition or a demand, request?",HHM12SEX,12th HH member: gender,-1.0
ACTDON,Made a donation to a trustworthy organization,HHM9DOB,9th HH member: year of birth,-0.8683611371480954
ACTDON,Made a donation to a trustworthy organization,HHM10DOB,10th HH member: year of birth,-0.9188387142213159
ACTDON,Made a donation to a trustworthy organization,HHM10EDU,10th HH member: Level of education achieved to date,0.7624928516630234
ACTDON,Made a donation to a trustworthy organization,HHM11DOB,11th HH member: year of birth,-0.8943183203049722
ACTDON,Made a donation to a trustworthy organization,HHM11EDU,11th HH member: Level of education achieved to date,0.8944271909999159
ACTDON,Made a donation to a trustworthy organization,HHM12DOB,12th HH member: year of birth,-1.0
ACTDON,Made a donation to a trustworthy organization,HHM13RELR,13th HH member: relationship to the respondent,-1.0
ACTDON,Made a donation to a trustworthy organization,HHM13DOB,13th HH member: year of birth,-1.0
RATEHAP,How happy would you say you are?,HHM9MAR,9th HH member: marital status,-1.0
RATEHAP,How happy would you say you are?,HHM12RELR,12th HH member: relationship to the respondent,-0.7559289460184544
EMONOW,How do you feel now?,HHM9DOB,9th HH member: year of birth,-0.7340045714612607
EMONOW,How do you feel now?,HHM10DOB,10th HH member: year of birth,-0.7046251585971892
EMONOW,How do you feel now?,HHM10EDU,10th HH member: Level of education achieved to date,0.8040023809923519
EMONOW,How do you feel now?,HHM11DOB,11th HH member: year of birth,-0.8153031626319928
EMONOW,How do you feel now?,HHM11EDU,11th HH member: Level of education achieved to date,0.8249579113843054
EMONOW,How do you feel now?,HHM12DOB,12th HH member: year of birth,-1.0
EMONOW,How do you feel now?,HHM13RELR,13th HH member: relationship to the respondent,-1.0
EMONOW,How do you feel now?,HHM13DOB,13th HH member: year of birth,-1.0
GALLTRU,Most people can be trusted or you cannot be too careful?,ENVPROBO,Main environmental issue in Armenia: Other specified,0.7257976303838014
GALLTRU,Most people can be trusted or you cannot be too careful?,HHM7TRP,7th HH member's travel place for work (inside country),-1.0
GALLTRU,Most people can be trusted or you cannot be too careful?,HHM9MAR,9th HH member: marital status,-1.0
GALLTRU,Most people can be trusted or you cannot be too careful?,HHM11MAR,11th HH member: marital status,-1.0
GALLTRU,Most people can be trusted or you cannot be too careful?,HHM12SEX,12th HH member: gender,0.8322397195638238
GALLTRU,Most people can be trusted or you cannot be too careful?,HHM12DOB,12th HH member: year of birth,-0.9412188965466887
GALLTRU,Most people can be trusted or you cannot be too careful?,HHM12EDU,12th HH member: Level of education achieved to date,0.8962581595302718
GALLTRU,Most people can be trusted or you cannot be too careful?,HHM13RELR,13th HH member: relationship to the respondent,-0.9543382533729184
GALLTRU,Most people can be trusted or you cannot be too careful?,HHM13DOB,13th HH member: year of birth,-0.958804497268428
GALLTRU,Most people can be trusted or you cannot be too careful?,HHM13EDU,13th HH member: Level of education achieved to date,0.8962581595302718
CIGAVGD,"On average, how many cigarettes do you smoke per day?",HHM12SEX,12th HH member: gender,-1.0000000000000002
HLTHRAT,"Overall, how would you rate your health?",HHM6TRP,6th HH member's travel place for work (inside country),-0.8017837257372731
HLTHRAT,"Overall, how would you rate your health?",HHM12RELR,12th HH member: relationship to the respondent,-1.0
HLTHRAT,"Overall, how would you rate your health?",HHM12DOB,12th HH member: year of birth,0.8029550685469661
HLTHRAT,"Overall, how would you rate your health?",HHM12EDU,12th HH member: Level of education achieved to date,-0.8660254037844387
HLTHRAT,"Overall, how would you rate your health?",HHM13RELR,13th HH member: relationship to the respondent,0.777713771047819
HLTHRAT,"Overall, how would you rate your health?",HHM13DOB,13th HH member: year of birth,0.7679881673845781
HLTHRAT,"Overall, how would you rate your health?",HHM13EDU,13th HH member: Level of education achieved to date,-0.8660254037844387
DISCPRPR,How often do you discuss private problems with your close relatives and friends?,PARTYSUSO,Towards which political party do you have the most sympathy for? Other specified,-1.0
DISCPRPR,How often do you discuss private problems with your close relatives and friends?,HHM11SEX,11th HH member: gender,-0.7542530330036968
DISCPRPR,How often do you discuss private problems with your close relatives and friends?,HHM11POB,11th HH member: place of birth,0.721086856223453
DISCPRPR,How often do you discuss private problems with your close relatives and friends?,HHM12RELR,12th HH member: relationship to the respondent,-0.9966158955401239
DISCPRPR,How often do you discuss private problems with your close relatives and friends?,HHM12DOB,12th HH member: year of birth,0.8492319348032172
DISCPRPR,How often do you discuss private problems with your close relatives and friends?,HHM12EDU,12th HH member: Level of education achieved to date,-0.9041944301794652
DISCPRPR,How often do you discuss private problems with your close relatives and friends?,HHM13RELR,13th HH member: relationship to the respondent,0.8267540335004897
DISCPRPR,How often do you discuss private problems with your close relatives and friends?,HHM13DOB,13th HH member: year of birth,0.8180350342372709
DISCPRPR,How often do you discuss private problems with your close relatives and friends?,HHM13EDU,13th HH member: Level of education achieved to date,-0.9041944301794652
BUSINUSA,Do you approve or disapprove doing business with an American?,BUSINITA,Do you approve or disapprove doing business with an Italian?,0.7360703938681882
BUSINARM,Do you approve or disapprove doing business with an Armenian?,BUSINARG,Do you approve or disapprove doing business with an Armenian living in Georgia?,0.7730867007500027
BUSINARM,Do you approve or disapprove doing business with an Armenian?,HHM7TRP,7th HH member's travel place for work (inside country),-1.0
BUSINARM,Do you approve or disapprove doing business with an Armenian?,HHM8MRAGE,8th HH member: Age when s/he got married,0.828078671210825
BUSINAZE,Do you approve or disapprove doing business with an Azerbaijani?,BUSINTUR,Do you approve or disapprove doing business with a Turk?,0.7242730948200581
BUSINAZE,Do you approve or disapprove doing business with an Azerbaijani?,BUSINAZG,Do you approve or disapprove doing business with an Azerbaijani living in Georgi,0.7890165621386361
BUSINAZE,Do you approve or disapprove doing business with an Azerbaijani?,HHM4TAP,4th HH member's travel place for work (abroad),0.7380633742323381
BUSINAZE,Do you approve or disapprove doing business with an Azerbaijani?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
BUSINITA,Do you approve or disapprove doing business with an Italian?,BUSINUSA,Do you approve or disapprove doing business with an American?,0.7360703938681882
BUSINITA,Do you approve or disapprove doing business with an Italian?,HHM7TRP,7th HH member's travel place for work (inside country),-1.0
BUSINARA,Do you approve or disapprove doing business with an Arab?,BUSINIRA,Do you approve or disapprove doing business with an Iranian?,0.8139838540889782
BUSINARA,Do you approve or disapprove doing business with an Arab?,BUSINKUR,"Do you approve or disapprove doing business with a Kurd, Yezidi?",0.7044860333265988
BUSINARA,Do you approve or disapprove doing business with an Arab?,BUSININD,Do you approve or disapprove doing business with an Indian?,0.7945011681034655
BUSINARA,Do you approve or disapprove doing business with an Arab?,HHM6TAP,6th HH member's travel place for work (abroad),0.9999999999999998
BUSINARA,Do you approve or disapprove doing business with an Arab?,HHM9MAR,9th HH member: marital status,-1.0
BUSINARA,Do you approve or disapprove doing business with an Arab?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
BUSINARA,Do you approve or disapprove doing business with an Arab?,HHM12DOB,12th HH member: year of birth,-0.9933992677987827
BUSINARA,Do you approve or disapprove doing business with an Arab?,HHM12EDU,12th HH member: Level of education achieved to date,0.9999999999999999
BUSINARA,Do you approve or disapprove doing business with an Arab?,HHM13RELR,13th HH member: relationship to the respondent,-0.9878291611472619
BUSINARA,Do you approve or disapprove doing business with an Arab?,HHM13DOB,13th HH member: year of birth,-0.9853292781642911
BUSINARA,Do you approve or disapprove doing business with an Arab?,HHM13EDU,13th HH member: Level of education achieved to date,0.9999999999999999
BUSINGEO,Do you approve or disapprove doing business with a Georgian?,HHM6TAP,6th HH member's travel place for work (abroad),0.9999999999999998
BUSINIRA,Do you approve or disapprove doing business with an Iranian?,BUSINARA,Do you approve or disapprove doing business with an Arab?,0.8139838540889782
BUSINIRA,Do you approve or disapprove doing business with an Iranian?,BUSININD,Do you approve or disapprove doing business with an Indian?,0.7943236134592884
BUSINIRA,Do you approve or disapprove doing business with an Iranian?,HHM9MAR,9th HH member: marital status,-1.0
BUSINIRA,Do you approve or disapprove doing business with an Iranian?,HHM11MAR,11th HH member: marital status,-1.0
BUSINIRA,Do you approve or disapprove doing business with an Iranian?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
BUSINIRA,Do you approve or disapprove doing business with an Iranian?,HHM12DOB,12th HH member: year of birth,-0.9933992677987827
BUSINIRA,Do you approve or disapprove doing business with an Iranian?,HHM12EDU,12th HH member: Level of education achieved to date,0.9999999999999999
BUSINIRA,Do you approve or disapprove doing business with an Iranian?,HHM13RELR,13th HH member: relationship to the respondent,-0.9878291611472619
BUSINIRA,Do you approve or disapprove doing business with an Iranian?,HHM13DOB,13th HH member: year of birth,-0.9853292781642911
BUSINIRA,Do you approve or disapprove doing business with an Iranian?,HHM13EDU,13th HH member: Level of education achieved to date,0.9999999999999999
BUSINJEW,Do you approve or disapprove doing business with a Jew?,ENVPROBO,Main environmental issue in Armenia: Other specified,-0.7517421626261009
BUSINJEW,Do you approve or disapprove doing business with a Jew?,HHM6TAP,6th HH member's travel place for work (abroad),0.9999999999999998
BUSINJEW,Do you approve or disapprove doing business with a Jew?,HHM7TRP,7th HH member's travel place for work (inside country),-1.0
BUSINJEW,Do you approve or disapprove doing business with a Jew?,HHM11MAR,11th HH member: marital status,-1.0
BUSINJEW,Do you approve or disapprove doing business with a Jew?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
BUSINJEW,Do you approve or disapprove doing business with a Jew?,HHM12DOB,12th HH member: year of birth,-0.9933992677987827
BUSINJEW,Do you approve or disapprove doing business with a Jew?,HHM12EDU,12th HH member: Level of education achieved to date,0.9999999999999999
BUSINJEW,Do you approve or disapprove doing business with a Jew?,HHM13RELR,13th HH member: relationship to the respondent,-0.9878291611472619
BUSINJEW,Do you approve or disapprove doing business with a Jew?,HHM13DOB,13th HH member: year of birth,-0.9853292781642911
BUSINJEW,Do you approve or disapprove doing business with a Jew?,HHM13EDU,13th HH member: Level of education achieved to date,0.9999999999999999
BUSINKUR,"Do you approve or disapprove doing business with a Kurd, Yezidi?",BUSINARA,Do you approve or disapprove doing business with an Arab?,0.7044860333265988
BUSINKUR,"Do you approve or disapprove doing business with a Kurd, Yezidi?",BUSININD,Do you approve or disapprove doing business with an Indian?,0.7255216504942502
BUSINKUR,"Do you approve or disapprove doing business with a Kurd, Yezidi?",HHM12DOB,12th HH member: year of birth,-1.0
BUSINKUR,"Do you approve or disapprove doing business with a Kurd, Yezidi?",HHM13RELR,13th HH member: relationship to the respondent,-1.0
BUSINKUR,"Do you approve or disapprove doing business with a Kurd, Yezidi?",HHM13DOB,13th HH member: year of birth,-1.0
BUSINRUS,Do you approve or disapprove doing business with a Russian?,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,-0.7745966692414834
BUSINRUS,Do you approve or disapprove doing business with a Russian?,HHM6TAP,6th HH member's travel place for work (abroad),0.9999999999999998
BUSINRUS,Do you approve or disapprove doing business with a Russian?,HHM8MRAGE,8th HH member: Age when s/he got married,0.828078671210825
BUSINRUS,Do you approve or disapprove doing business with a Russian?,HHM9TRW,Has 9th HH member traveled for work outside settlement?,-1.0
BUSINTUR,Do you approve or disapprove doing business with a Turk?,BUSINAZE,Do you approve or disapprove doing business with an Azerbaijani?,0.7242730948200581
BUSINTUR,Do you approve or disapprove doing business with a Turk?,HHM11MAR,11th HH member: marital status,-1.0
BUSINTUR,Do you approve or disapprove doing business with a Turk?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
BUSINUKR,Do you approve or disapprove doing business with a Ukrainian?,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,-0.7745966692414834
BUSINUKR,Do you approve or disapprove doing business with a Ukrainian?,HHM6TAP,6th HH member's travel place for work (abroad),0.9999999999999998
BUSINUKR,Do you approve or disapprove doing business with a Ukrainian?,HHM9MAR,9th HH member: marital status,-1.0
BUSINUKR,Do you approve or disapprove doing business with a Ukrainian?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
BUSININD,Do you approve or disapprove doing business with an Indian?,BUSINARA,Do you approve or disapprove doing business with an Arab?,0.7945011681034655
BUSININD,Do you approve or disapprove doing business with an Indian?,BUSINIRA,Do you approve or disapprove doing business with an Iranian?,0.7943236134592884
BUSININD,Do you approve or disapprove doing business with an Indian?,BUSINKUR,"Do you approve or disapprove doing business with a Kurd, Yezidi?",0.7255216504942502
BUSININD,Do you approve or disapprove doing business with an Indian?,HHM6TAP,6th HH member's travel place for work (abroad),0.9999999999999998
BUSININD,Do you approve or disapprove doing business with an Indian?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
BUSINMOL,Do you approve or disapprove doing business with an Molokans?,HHM6TAP,6th HH member's travel place for work (abroad),0.9999999999999998
BUSINMOL,Do you approve or disapprove doing business with an Molokans?,HHM12DOB,12th HH member: year of birth,-1.0
BUSINMOL,Do you approve or disapprove doing business with an Molokans?,HHM13RELR,13th HH member: relationship to the respondent,-1.0
BUSINMOL,Do you approve or disapprove doing business with an Molokans?,HHM13DOB,13th HH member: year of birth,-1.0
BUSINABK,Do you approve or disapprove doing business with an Abkhaz?,BUSINOSS,Do you approve or disapprove doing business with an Ossetian?,0.7061678024285145
BUSINABK,Do you approve or disapprove doing business with an Abkhaz?,HHM8MAR,8th HH member: marital status,-0.7150969419341942
BUSINOSS,Do you approve or disapprove doing business with an Ossetian?,BUSINABK,Do you approve or disapprove doing business with an Abkhaz?,0.7061678024285145
BUSINOSS,Do you approve or disapprove doing business with an Ossetian?,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,-0.7745966692414834
BUSINOSS,Do you approve or disapprove doing business with an Ossetian?,SECNDLAOO,Second language used in everyday life-Other specified,-0.7559289460184544
BUSINARG,Do you approve or disapprove doing business with an Armenian living in Georgia?,BUSINARM,Do you approve or disapprove doing business with an Armenian?,0.7730867007500027
BUSINARG,Do you approve or disapprove doing business with an Armenian living in Georgia?,SECNDLAOO,Second language used in everyday life-Other specified,-0.9449111825230679
BUSINARG,Do you approve or disapprove doing business with an Armenian living in Georgia?,HHM7MAR,7th HH member: marital status,-0.760638829255665
BUSINARG,Do you approve or disapprove doing business with an Armenian living in Georgia?,HHM8MAR,8th HH member: marital status,-0.7150969419341942
BUSINARG,Do you approve or disapprove doing business with an Armenian living in Georgia?,HHM11DOB,11th HH member: year of birth,0.9905357830188458
BUSINARG,Do you approve or disapprove doing business with an Armenian living in Georgia?,HHM11EDU,11th HH member: Level of education achieved to date,-1.0
BUSINAZG,Do you approve or disapprove doing business with an Azerbaijani living in Georgi,BUSINAZE,Do you approve or disapprove doing business with an Azerbaijani?,0.7890165621386361
BUSINJW,Whether you approve or disapprove people doing business with a Jehovah's Witness,SECNDLAOO,Second language used in everyday life-Other specified,0.7869470848066686
BUSINJW,Whether you approve or disapprove people doing business with a Jehovah's Witness,HHM5TAP,5th HH member's travel place for work (abroad),0.93062958719967
BUSINGA,Whether you approve or disapprove of people doing business with a homosexual?,HHM6TRP,6th HH member's travel place for work (inside country),-0.8017837257372731
MARWUSA,Approve or disapprove of women of your ethnicity marrying an American?,MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,0.8432670701671645
MARWUSA,Approve or disapprove of women of your ethnicity marrying an American?,MARWRUS,Approve or disapprove of women of your ethnicity marrying a Russian?,0.7320221055340338
MARWUSA,Approve or disapprove of women of your ethnicity marrying an American?,MARWUKR,Approve or disapprove of women of your ethnicity marrying a Ukrainian?,0.7795512680068685
MARWUSA,Approve or disapprove of women of your ethnicity marrying an American?,HHM9MAR,9th HH member: marital status,-1.0
MARWUSA,Approve or disapprove of women of your ethnicity marrying an American?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
MARWUSA,Approve or disapprove of women of your ethnicity marrying an American?,HHM12DOB,12th HH member: year of birth,-0.9933992677987827
MARWUSA,Approve or disapprove of women of your ethnicity marrying an American?,HHM12EDU,12th HH member: Level of education achieved to date,0.9999999999999999
MARWUSA,Approve or disapprove of women of your ethnicity marrying an American?,HHM13RELR,13th HH member: relationship to the respondent,-0.9878291611472619
MARWUSA,Approve or disapprove of women of your ethnicity marrying an American?,HHM13DOB,13th HH member: year of birth,-0.9853292781642911
MARWUSA,Approve or disapprove of women of your ethnicity marrying an American?,HHM13EDU,13th HH member: Level of education achieved to date,0.9999999999999999
MARWARM,Approve or disapprove of women of your ethnicity marrying an Armenian?,MARWARG,Approve or disapprove of women of your ethnicity marrying Armenian living in Geo,0.8436532719925792
MARWARM,Approve or disapprove of women of your ethnicity marrying an Armenian?,HHM7TRP,7th HH member's travel place for work (inside country),-1.0
MARWARM,Approve or disapprove of women of your ethnicity marrying an Armenian?,HHM8MRAGE,8th HH member: Age when s/he got married,0.828078671210825
MARWARM,Approve or disapprove of women of your ethnicity marrying an Armenian?,HHM9MAR,9th HH member: marital status,-1.0
MARWARM,Approve or disapprove of women of your ethnicity marrying an Armenian?,HHM11MAR,11th HH member: marital status,-1.0
MARWAZE,Approve or disapprove of women of your ethnicity marrying an Azerbaijani?,MARWTUR,Approve or disapprove of women of your ethnicity marrying a Turk?,0.8248445126643066
MARWAZE,Approve or disapprove of women of your ethnicity marrying an Azerbaijani?,MARWAZG,Approve or disapprove of women of your ethnicity marrying Azerbaijani living in,0.875184746022723
MARWAZE,Approve or disapprove of women of your ethnicity marrying an Azerbaijani?,HHM5TAP,5th HH member's travel place for work (abroad),0.93062958719967
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,MARWUSA,Approve or disapprove of women of your ethnicity marrying an American?,0.8432670701671645
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,MARWJEW,Approve or disapprove of women of your ethnicity marrying a Jew?,0.7026756060140812
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,MARWRUS,Approve or disapprove of women of your ethnicity marrying a Russian?,0.7552399747882715
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,MARWUKR,Approve or disapprove of women of your ethnicity marrying a Ukrainian?,0.8033534802874988
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,HHM5TAP,5th HH member's travel place for work (abroad),0.93062958719967
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,HHM9MAR,9th HH member: marital status,-1.0
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,HHM12RELR,12th HH member: relationship to the respondent,0.8660254037844385
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,HHM12DOB,12th HH member: year of birth,-0.9933992677987827
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,HHM12EDU,12th HH member: Level of education achieved to date,0.9999999999999999
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,HHM13RELR,13th HH member: relationship to the respondent,-0.9878291611472619
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,HHM13DOB,13th HH member: year of birth,-0.9853292781642911
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?,HHM13EDU,13th HH member: Level of education achieved to date,0.9999999999999999
MARWARA,Approve or disapprove of women of your ethnicity marrying an Arab?,MARWIRA,Approve or disapprove of women of your ethnicity marrying an Iranian?,0.88866699822888
MARWARA,Approve or disapprove of women of your ethnicity marrying an Arab?,MARWKUR,"Approve or disapprove of women of your ethnicity marrying a Kurd, Yezidi?",0.8129263885254803
