Variable 1,Variable 2,Correlation
MARWITA,HHM13EDU,0.9999999999999999
MARWARA,MARWIRA,0.88866699822888
MARWARA,MARWKUR,0.8129263885254803
MARWARA,MARWTUR,0.7733201065093765
MARWARA,MARWIND,0.8277566181782502
MARWARA,HHM5TAP,0.93062958719967
MARWGEO,HHM4TAP,0.7111566603415539
MARWGEO,HHM12RELR,0.8660254037844385
MARWIRA,MARWARA,0.88866699822888
MARWIRA,MARWKUR,0.8111026064310004
MARWIRA,MARWTUR,0.7850587439569895
MARWIRA,MARWIND,0.8289803123530161
MARWIRA,MARWAZG,0.7025668110133197
MARWIRA,SECNDLAOO,0.7869470848066686
MARWIRA,HHM5TAP,0.93062958719967
MARWIRA,HHM9MAR,-1.0
MARWIRA,HHM11MAR,-1.0
MARWIRA,HHM12RELR,0.8660254037844385
MARWIRA,HHM12DOB,-0.9933992677987827
MARWIRA,HHM12EDU,0.9999999999999999
MARWIRA,HHM13RELR,-0.9878291611472619
MARWIRA,HHM13DOB,-0.9853292781642911
MARWIRA,HHM13EDU,0.9999999999999999
MARWJEW,MARWITA,0.7026756060140812
MARWJEW,MARWOSS,0.7197206583901011
MARWJEW,MARWARG,0.7170087457418458
MARWKUR,MARWARA,0.8129263885254803
MARWKUR,MARWIRA,0.8111026064310004
MARWKUR,MARWTUR,0.7297616444686527
MARWKUR,MARWIND,0.8063809220689145
MARWKUR,SECNDLAOO,0.8468812149338254
MARWKUR,HHM5TAP,0.93062958719967
MARWRUS,MARWUSA,0.7320221055340338
MARWRUS,MARWITA,0.7552399747882715
MARWRUS,MARWUKR,0.795029171855704
MARWRUS,HHM6TAP,0.9999999999999998
MARWRUS,HHM9MAR,-1.0
MARWRUS,HHM11MAR,-1.0
MARWTUR,MARWAZE,0.8248445126643066
MARWTUR,MARWARA,0.7733201065093765
MARWTUR,MARWIRA,0.7850587439569895
MARWTUR,MARWKUR,0.7297616444686527
MARWTUR,MARWAZG,0.756913639811927
MARWTUR,SECNDLAOO,0.7319250547113999
MARWTUR,HHM5TAP,0.93062958719967
MARWUKR,MARWUSA,0.7795512680068685
MARWUKR,MARWITA,0.8033534802874988
MARWUKR,MARWRUS,0.795029171855704
MARWUKR,MARWABK,0.711002724898402
MARWUKR,MARWOSS,0.7041474679437801
MARWUKR,HHM9MAR,-1.0
MARWUKR,HHM12RELR,0.8660254037844385
MARWUKR,HHM12DOB,-0.9933992677987827
MARWUKR,HHM12EDU,0.9999999999999999
MARWUKR,HHM13RELR,-0.9878291611472619
MARWUKR,HHM13DOB,-0.9853292781642911
MARWUKR,HHM13EDU,0.9999999999999999
MARWIND,MARWARA,0.8277566181782502
MARWIND,MARWIRA,0.8289803123530161
MARWIND,MARWKUR,0.8063809220689145
MARWIND,SECNDLAOO,0.7869470848066686
MARWIND,HHM5TAP,0.93062958719967
MARWIND,HHM9MAR,-1.0
MARWIND,HHM11MAR,-1.0
MARWIND,HHM12RELR,0.8660254037844385
MARWIND,HHM12DOB,-0.9933992677987827
MARWIND,HHM12EDU,0.9999999999999999
MARWIND,HHM13RELR,-0.9878291611472619
MARWIND,HHM13DOB,-0.9853292781642911
MARWIND,HHM13EDU,0.9999999999999999
MARWMOL,HHM7MAR,-0.8333333333333335
MARWABK,MARWUKR,0.711002724898402
MARWABK,MARWOSS,0.7908672136621192
MARWABK,SECNDLAOO,0.9449111825230679
MARWABK,HHM8MAR,-0.9701425001453319
MARWABK,HHM11SEX,-0.7071067811865475
MARWOSS,MARWJEW,0.7197206583901011
MARWOSS,MARWUKR,0.7041474679437801
MARWOSS,MARWABK,0.7908672136621192
MARWOSS,SECNDLAOO,0.9449111825230679
MARWOSS,HHM11SEX,-0.7071067811865475
MARWARG,MARWARM,0.8436532719925792
MARWARG,MARWJEW,0.7170087457418458
MARWARG,SECNDLAOO,0.7559289460184544
MARWAZG,MARWAZE,0.875184746022723
MARWAZG,MARWIRA,0.7025668110133197
MARWAZG,MARWTUR,0.756913639811927
MARWAZG,SECNDLAOO,0.7559289460184544
MARWAZG,HHM5TAP,0.9637544694713633
MARWJW,SECNDLAOO,0.8468812149338254
MARWJW,HHM5TAP,0.93062958719967
CLRLABR,HHM7TRP,-1.0
CLRLABR,HHM12RELR,-0.8660254037844385
RELLVAZ,HHM10POB,0.8767945989619054
RELLVBE,HHM11DOB,-0.9381723997198061
RELLVBE,HHM11EDU,0.9698612260388876
RELLVBG,PARTYSUPO,-0.9883173560569455
RELLVCUK,HHM8MAR,0.9999999999999999
RELLVCUK,HHM8MRAGE,0.9449111825230677
RELLVDK,FRNDLVDK,0.7065497848171756
RELLVES,EUNSUPO,0.7745966692414834
RELLVES,HHM8MRAGE,-0.9058216273156767
RELLVFR,WARSTRO,0.7023212455598999
RELLVGE,NEIGHOTH,0.7905694150420948
RELLVGR,EUNSUPO,-0.7745966692414834
RELLVIE,SECNDLAOT,0.7064007333008538
RELLVIE,SECNDLAOO,-1.0
RELLVIL,HHM5TAP,0.8461218042780159
RELLVIQ,FRNDLVLB,0.7065497848171748
RELLVIR,RELLVPS,0.7068895774396969
RELLVIT,EUNSUPO,0.8944271909999159
RELLVIT,HHM8MRAGE,-0.9058216273156767
RELLVIT,HHM11DOB,-0.9381723997198061
RELLVIT,HHM11EDU,0.9698612260388876
RELLVKZ,HHM5TRP,-0.7071067811865475
RELLVLT,FRNDLVLT,0.7061961474781628
RELLVMD,SECNDLAOT,0.7064007333008537
RELLVPS,RELLVIR,0.7068895774396969
RELLVRU,HHM6TRP,-1.0
RELLVSY,FRNDLVSY,0.7065497848171756
RELLVUK,WARSTRO,0.7023212455598999
RELLVUK,HHM8DOB,-0.9997031308718235
RELLVUK,HHM11RELR,0.9271726499455307
RELLVUK,HHM11POB,0.9999999999999999
RELLVUS,HHM5TAP,-0.7784320599357746
RELLVUS,HHM6TAP,-0.9999999999999998
CLFRDAB,HHM9MAR,-1.0
CLFRDAB,HHM11SEX,0.7071067811865475
CLFRDAB,HHM11MAR,-1.0
CLFRDAB,HHM12RELR,0.8660254037844385
FRNDLVCZ,HHM12RELR,-1.0
FRNDLVCZ,HHM12SEX,-1.0
FRNDLVCZ,HHM12EDU,-1.0
FRNDLVCZ,HHM13EDU,-1.0
FRNDLVDE,EUNSUPO,-0.7745966692414834
FRNDLVDE,HHM5TAP,-1.0
FRNDLVDE,HHM6TRP,-1.0
FRNDLVDK,RELLVDK,0.7065497848171756
FRNDLVES,EUNSUPO,0.7745966692414834
FRNDLVGR,HHM7MRAGE,0.9191365676955671
FRNDLVIE,HHM7MAR,-0.7559289460184544
FRNDLVIT,HHM5TRP,-0.9999999999999999
FRNDLVIT,HHM6TRW,0.7005289007176939
FRNDLVIT,HHM12RELR,-1.0
FRNDLVIT,HHM12SEX,-1.0
FRNDLVIT,HHM12EDU,-1.0
FRNDLVIT,HHM13EDU,-1.0
FRNDLVLB,RELLVIQ,0.7065497848171748
FRNDLVLT,RELLVLT,0.7061961474781628
FRNDLVLV,PARTYSUPO,-0.8385254915624212
FRNDLVRU,NEIGHOTH,0.9999999999999999
FRNDLVRU,FLMANDSO,0.9522165814091078
FRNDLVRU,HHM8MRAGE,-1.0
FRNDLVRU,HHM12DOB,-1.0
FRNDLVRU,HHM13RELR,-1.0
FRNDLVRU,HHM13DOB,-1.0
FRNDLVSY,RELLVSY,0.7065497848171756
FRNDLVTR,SECNDLAOO,0.7371541402007414
FRNDLVUK,HHM5TAP,-1.0
FRNDLVUK,HHM8EDU,0.7223607177772164
FRNDLVUS,HHM5TAP,-1.0
FATEINLF,EUNSUPO,-0.7745966692414834
FATEINLF,HHM6TAP,-0.8207677342949546
FATEINLF,HHM9MAR,-1.0
NEIGHBOR,HHM8MRAGE,-0.8386278693775342
NEIGHBOR,HHM9TRW,-1.0
NEIGHOTH,RELLVGE,0.7905694150420948
NEIGHOTH,FRNDLVRU,0.9999999999999999
NEIGHOTH,REFRET,-0.7472647177570733
NEIGHOTH,REFHLT,0.7181848464596079
NEIGHOTH,LPROS,-0.7844645405527361
NEIGHOTH,EUNSUPW,-0.8528028654224417
NEIGHOTH,EEUSUPNA,-1.0
NEIGHOTH,COOPCSTO,-1.0
NEIGHOTH,MAINENEM,-0.8659706822065698
NEIGHOTH,USSRNEIN,0.7242068243779014
NEIGHOTH,ICITVOTE,-0.7905694150420947
NEIGHOTH,ICITTRAD,-0.8749999999999999
NEIGHOTH,ICITHELP,-0.7132862256552014
NEIGHOTH,NK4_1,-0.9081082718950219
NEIGHOTH,NK4_2,-0.7608859102526823
NEIGHOTH,NK5AR_1,-0.918558653543692
NEIGHOTH,WORKTYP,-0.7783117824941562
NEIGHOTH,WORKSEC,-0.8673165879080587
NEIGHOTH,FLMANDSO,-1.0
NEIGHOTH,GAMSOC,-0.7905694150420948
NEIGHOTH,HHM3TRP,-1.0
ACCVODK,EUNSUPO,-1.0
ACCVODK,WARSTRO,-1.0000000000000002
ACCVODK,HHM6TAP,-0.8660254037844387
ACCVODK,HHM7MRAGE,-0.7127255688897131
ACCVODK,HHM11SEX,-0.8141523424379786
ACCVODK,HHM11POB,0.8141523424379786
ACCTOBA,EEUNSUWO,-0.8268106308031118
ACCTOBA,EEUSUPWO,-0.7041326566312465
ACCTOBA,USSRNEOO,-0.7124684141895685
ACCSEPL,ENVPROBO,0.894427190999916
ACCSEPL,HHM5TAP,-1.0
ACCSEPL,HHM6TRP,-0.9428090415820632
ACCSEPL,HHM8MAR,-0.720576692122892
ACCSEPL,HHM9DOB,-0.9411349104683676
ACCSEPL,HHM9EDU,0.9583727150068314
ACCSEPL,HHM10RELR,0.9707253433941511
ACCSEPL,HHM10SEX,-0.9607689228305228
ACCSEPL,HHM10DOB,-0.9922153572367612
ACCSEPL,HHM10POB,0.9607689228305228
ACCSEPL,HHM11DOB,-1.0
ACCSEBM,REVPARTOTS,0.8366600265340756
ACCSEBM,USSRNEOO,-0.8571501342034584
ACCSEBM,HHM8EDU,-0.7253367960171438
ACCMARR,PARTYSUSO,-1.0
ACCMARR,EUNSUPO,-0.7745966692414834
ACCMARR,HHM9TRW,-0.7655318158241112
ACCMARR,HHM9MAR,-1.0
ACCMARR,HHM12SEX,0.917662935482247
ACCMARR,HHM12DOB,-0.8660254037844385
ACCMARR,HHM12EDU,0.802955068546966
ACCMARR,HHM13RELR,-0.8858920666876036
ACCMARR,HHM13DOB,-0.8928976558441309
ACCMARR,HHM13EDU,0.802955068546966
ACCCOHB,HHM5TRP,-1.0
ACCCOHB,HHM9SEX,-0.9999999999999997
GENBREA,HHM12SEX,-1.0
GENBRER,HHM8MRAGE,0.712691451104622
GENBRER,HHM12RELR,-1.0
GENBRER,HHM12DOB,-1.0
GENBRER,HHM13RELR,-1.0
GENBRER,HHM13DOB,-1.0
IDEALNCH,HHM12RELR,-1.0
IDEALNCH,HHM12EDU,-1.0
IDEALNCH,HHM13EDU,-1.0
GNDPREF,PARTYSUSO,-1.0
GNDPREF,HHM9MAR,-1.0
APTINHERT,HHM11DOB,-0.7566384132704274
APTINHERT,HHM11EDU,0.8703882797784893
APTINHOTH,PARTYSUPO,-1.0
APTINHOTH,USSRPOOTS,-1.0
APTINHOTH,RESPTAP,0.883247295879433
APTINHOTH,HHM4TAP,-1.0
APTINHOTH,HHM5MAR,0.9416049280053616
APTINHOTH,HHM8RELR,-1.0
APTINHOTH,HHM8SEX,-1.0
APTINHOTH,HHM8DOB,-1.0
TRUPOLLRN,EEUNSUWO,-0.7419072143997656
TRUPOLLRN,HHM7TRP,-1.0
TRUPOLLRN,HHM9TRW,0.8749999999999999
TRUPOLLRN,HHM12SEX,-1.0
TRUOS,HHM6TRP,0.8660254037844387
TRUOS,HHM6TAP,-0.8703882797784892
TRUOS,HHM8MAR,-0.7071067811865475
TRUOS,HHM11EDU,-0.7071067811865475
TRUOS,HHM12RELR,-1.0
TRUOS,HHM12EDU,-1.0
TRUOS,HHM13EDU,-1.0
POLDIRN,HHM12RELR,-0.9819805060619656
POLDIRN,HHM12EDU,-0.7559289460184545
POLDIRN,HHM13EDU,-0.7559289460184545
CNTPROS,HHM6TAP,-0.8728715609439694
IMPISS1,PARTYSUSO,-1.0
IMPISS1,HHM8MRAGE,0.8462170256464061
IMPISS1,HHM9MAR,-1.0
IMPISS1,HHM11MAR,-1.0
IMPISS1,HHM12RELR,0.8660254037844386
IMPISS1O,USSRNEOO,-0.7925690887059782
IMPISS1O,HHM4TRP,0.7446687115861395
IMPISS1O,HHM6MRAGE,-0.9914852360407974
IMPISS1O,HHM7MRAGE,-0.9819805060619659
IMPISS1O,HHM8RELR,-0.7435448243381715
IMPISS1O,HHM8EMP,-1.0
IMPISS1O,HHM8MRAGE,-1.0
IMPISS1O,HHM9RELR,-0.7435448243381715
IMPISS1O,HHM12RELR,-1.0
IMPISS1O,HHM12SEX,-1.0
IMPISS1O,HHM12EDU,-1.0
IMPISS1O,HHM13EDU,-1.0
IMPISS2,ENVPROBO,0.8563957002228944
IMPISS2,HHM5TAP,0.9306295871996703
IMPISS2,HHM7TRP,-1.0
IMPISS2,HHM8MRAGE,-0.9142324078276748
IMPISS2,HHM12RELR,-1.0
IMPISS2,HHM12EDU,-1.0
IMPISS2,HHM13EDU,-1.0
IMPISS2O,PARTYSUPS,-0.7205766921228921
IMPISS2O,EEUNSUWO,0.8250970287435916
IMPISS2O,ENVPROBO,0.9041944301794651
IMPISS2O,HHM7POB,0.9610517887575002
IMPISS2O,HHM8POB,0.9991507429465938
REVPARTOTS,ACCSEBM,0.8366600265340756
REVPARTOTS,USSRPOCM,0.9999999999999997
REVPARTOTS,USSRPOOTS,-1.0
REVEXP1,HHM10DOB,-0.9188387142213159
REVEXP1,HHM10EDU,0.7624928516630233
REVEXP1,HHM11DOB,-0.8943183203049724
REVEXP1,HHM11EDU,0.8944271909999159
REVEXP1,HHM12DOB,-1.0
REVEXP1,HHM13RELR,-1.0
REVEXP1,HHM13DOB,-1.0
REVEXP2,HHM6TRP,-1.0
REVEXP2,HHM6TAP,1.0000000000000002
REVEXP2,HHM8EMP,0.9185586535436917
REVEXP2,HHM8MRAGE,0.7894736842105265
REVEXP2,HHM12RELR,-1.0
REVEXP2,HHM12EDU,-1.0
REVEXP2,HHM13EDU,-1.0
REFLANG,HHM5TRP,-0.7453559924999299
REFLANG,HHM6TRP,-0.7559289460184546
REFLANG,HHM8TRW,0.9128709291752767
REFLANG,HHM9TRW,0.9428090415820635
REFLANG,HHM11EDU,0.7071067811865475
REFLANG,HHM12DOB,-1.0
REFLANG,HHM13RELR,-1.0
REFLANG,HHM13DOB,-1.0
REFCRC,HHM8EMP,0.9682458365518541
REFCRC,HHM8MAR,0.7624928516630234
REFCRC,HHM8MRAGE,0.9446104285307813
REFCRC,HHM12DOB,-1.0
REFCRC,HHM13RELR,-1.0
REFCRC,HHM13DOB,-1.0
REFRET,NEIGHOTH,-0.7472647177570733
REFRET,HHM6TAP,0.9707253433941507
REFRET,HHM12RELR,-1.0
REFRET,HHM12EDU,-1.0
REFRET,HHM13EDU,-1.0
REFVET,HHM8EMP,-0.8164965809277259
REFVET,HHM8MAR,-0.8660254037844385
REFVET,HHM8MRAGE,-0.9819805060619654
REFVET,HHM11RELR,-1.0
REFVET,HHM11SEX,-0.8660254037844385
REFVET,HHM12RELR,-1.0
REFVET,HHM12EDU,-1.0
REFVET,HHM13EDU,-1.0
REFIST,HHM8MRAGE,1.0000000000000002
REFIST,HHM10RELR,0.7389969586232198
REFIST,HHM11RELR,1.0000000000000002
REFINT,HHM5TRP,0.7222222222222223
REFINT,HHM8TRW,-0.7385489458759964
REFINT,HHM9TRW,-0.7302967433402217
REFINT,HHM10RELR,0.9182622582426504
REFINT,HHM10DOB,0.8728723948598966
REFINT,HHM10EDU,-0.8115026712006891
REFINT,HHM11DOB,0.9607689228305228
REFINT,HHM11EDU,-1.0
REFINT,HHM12RELR,-1.0
REFINT,HHM12EDU,-1.0
REFINT,HHM13EDU,-1.0
REFHLT,NEIGHOTH,0.7181848464596079
REFHLT,ENVPROBO,-0.7178459465435066
REFHLT,HHM6TRP,0.7559289460184543
